No. of grids:
Spatial length:
Time interval:
Total time:
K0 factor:
X0:
Sigma:
W:
V0:
X0_V:
FREQ:
### Initial wavefunction:

x    Re[psi]   Imag[psi]:
  42.25000   0.00000

  42.50000   0.00000

  42.75000   0.00000

  43.00000   0.00000

  43.25000   0.00000

  43.50000   0.00000

  43.75000   0.00000

  44.00000   0.00000

  44.25000   0.00000

  44.50000   0.00000

  44.75000   0.00000

  45.00000   0.00000

  45.25000   0.00000

  45.50000   0.00000

  45.75000   0.00000

  46.00000   0.00000

  46.25000   0.00000

  46.50000   0.00000

  46.75000   0.00000

  47.00000   0.00000

  47.25000   0.00000

  47.50000   0.00000

  47.75000   0.00000

  48.00000   0.00000

  48.25000   0.00000

  48.50000   0.00000

  48.75000   0.00000

  49.00000   0.00000

  49.25000   0.00000

  49.50000   0.00000

  49.75000   0.00000

  50.00000   0.00000

### External potential:

x    V(x):

   0.00000   0.00000

   0.25000   0.00000

   0.50000   0.00000

   0.75000   0.00000

   1.00000   0.00000

   1.25000   0.00000

   1.50000   0.00000

   1.75000   0.00000

   2.00000   0.00000

   2.25000   0.00000

   2.50000   0.00000

   2.75000   0.00000

   3.00000   0.00000

   3.25000   0.00000

   3.50000   0.00000

   3.75000   0.00000

   4.00000   0.00000

   4.25000   0.00000

   4.50000   0.00000

   4.75000   0.00000

   5.00000   0.00000

   5.25000   0.00000

   5.50000   0.00000

   5.75000   0.00000

   6.00000   0.00000

   6.25000   0.00000

   6.50000   0.00000

   6.75000   0.00000

   7.00000   0.00000

   7.25000   0.00000

   7.50000   0.00000

   7.75000   0.00000

   8.00000   0.00000

   8.25000   0.00000

   8.50000   0.00000

   8.75000   0.00000

   9.00000   0.00000

   9.25000   0.00000

   9.50000   0.00000

   9.75000   0.00000

  10.00000   0.00000

  10.25000   0.00000

  10.50000   0.00000

  10.75000   0.00000

  11.00000   0.00000

  11.25000   0.00000

  11.50000   0.00000

  11.75000   0.00000

  12.00000   0.00000

  12.25000   0.00000

  12.50000   0.00000

  12.75000   0.00000

  13.00000   0.00000

  13.25000   0.00000

  13.50000   0.00000

  13.75000   0.00000

  14.00000   0.00000

  14.25000   0.00000

  14.50000   0.00000

  14.75000   0.00000

  15.00000   0.00000

  15.25000   0.00000

  15.50000   0.00000

  15.75000   0.00000

  16.00000   0.00000

  16.25000   0.00000

  16.50000   0.00000

  16.75000   0.00000

  17.00000   0.00000

  17.25000   0.00000

  17.50000   0.00000

  17.75000   0.00000

  18.00000   0.00000

  18.25000   0.00000

  18.50000   0.00000

  18.75000   0.00000

  19.00000   0.00000

  19.25000   0.00000

  19.50000   0.00000

  19.75000   0.00000

  20.00000   0.00000

  20.25000   0.00000

  20.50000   0.00000

  20.75000   0.00000

  21.00000   0.00000

  21.25000   0.00000

  21.50000   0.00000

  21.75000   0.00000

  22.00000   0.00000

  22.25000   0.00000

  22.50000   0.00000

  22.75000   0.00000

  23.00000   0.00000

  23.25000   0.00000

  23.50000   0.00000

  23.75000   0.00000

  24.00000   0.00000

  24.25000   0.00000

  24.50000   0.00000

  24.75000   0.00000

  25.00000   0.00000

  25.25000   0.00000

  25.50000   0.00000

  25.75000   0.00000

  26.00000  10.00000

  26.25000  10.00000

  26.50000  10.00000

  26.75000  10.00000

  27.00000  10.00000

  27.25000  10.00000

  27.50000  10.00000

  27.75000  10.00000

  28.00000   0.00000

  28.25000   0.00000

  28.50000   0.00000

  28.75000   0.00000

  29.00000   0.00000

  29.25000   0.00000

  29.50000   0.00000

  29.75000   0.00000

  30.00000   0.00000

  30.25000   0.00000

  30.50000   0.00000

  30.75000   0.00000

  31.00000   0.00000

  31.25000   0.00000

  31.50000   0.00000

  31.75000   0.00000

  32.00000   0.00000

  32.25000   0.00000

  32.50000   0.00000

  32.75000   0.00000

  33.00000   0.00000

  33.25000   0.00000

  33.50000   0.00000

  33.75000   0.00000

  34.00000   0.00000

  34.25000   0.00000

  34.50000   0.00000

  34.75000   0.00000

  35.00000   0.00000

  35.25000   0.00000

  35.50000   0.00000

  35.75000   0.00000

  36.00000   0.00000

  36.25000   0.00000

  36.50000   0.00000

  36.75000   0.00000

  37.00000   0.00000

  37.25000   0.00000

  37.50000   0.00000

  37.75000   0.00000

  38.00000   0.00000

  38.25000   0.00000

  38.50000   0.00000

  38.75000   0.00000

  39.00000   0.00000

  39.25000   0.00000

  39.50000   0.00000

  39.75000   0.00000

  40.00000   0.00000

  40.25000   0.00000

  40.50000   0.00000

  40.75000   0.00000

  41.00000   0.00000

  41.25000   0.00000

  41.50000   0.00000

  41.75000   0.00000

  42.00000   0.00000

  42.25000   0.00000

  42.50000   0.00000

  42.75000   0.00000

  43.00000   0.00000

  43.25000   0.00000

  43.50000   0.00000

  43.75000   0.00000

  44.00000   0.00000

  44.25000   0.00000

  44.50000   0.00000

  44.75000   0.00000

  45.00000   0.00000

  45.25000   0.00000

  45.50000   0.00000

  45.75000   0.00000

  46.00000   0.00000

  46.25000   0.00000

  46.50000   0.00000

  46.75000   0.00000

  47.00000   0.00000

  47.25000   0.00000

  47.50000   0.00000

  47.75000   0.00000

  48.00000   0.00000

  48.25000   0.00000

  48.50000   0.00000

  48.75000   0.00000

  49.00000   0.00000

  49.25000   0.00000

  49.50000   0.00000

  49.75000   0.00000

  50.00000   0.00000

###Time-evolution start!
iteration =         10, time =    0.10000 

iteration =         20, time =    0.20000 

iteration =         30, time =    0.30000 

iteration =         40, time =    0.40000 

iteration =         50, time =    0.50000 

iteration =         60, time =    0.60000 

iteration =         70, time =    0.70000 

iteration =         80, time =    0.80000 

iteration =         90, time =    0.90000 

iteration =        100, time =    1.00000 

iteration =        110, time =    1.10000 

iteration =        120, time =    1.20000 

iteration =        130, time =    1.30000 

iteration =        140, time =    1.40000 

iteration =        150, time =    1.50000 

iteration =        160, time =    1.60000 

iteration =        170, time =    1.70000 

iteration =        180, time =    1.80000 

iteration =        190, time =    1.90000 

iteration =        200, time =    2.00000 

iteration =        210, time =    2.10000 

iteration =        220, time =    2.20000 

iteration =        230, time =    2.30000 

iteration =        240, time =    2.40000 

iteration =        250, time =    2.50000 

iteration =        260, time =    2.60000 

iteration =        270, time =    2.70000 

iteration =        280, time =    2.80000 

iteration =        290, time =    2.90000 

iteration =        300, time =    3.00000 

iteration =        310, time =    3.10000 

iteration =        320, time =    3.20000 

iteration =        330, time =    3.30000 

iteration =        340, time =    3.40000 

iteration =        350, time =    3.50000 

iteration =        360, time =    3.60000 

iteration =        370, time =    3.70000 

iteration =        380, time =    3.80000 

iteration =        390, time =    3.90000 

iteration =        400, time =    4.00000 

iteration =        410, time =    4.10000 

iteration =        420, time =    4.20000 

iteration =        430, time =    4.30000 

iteration =        440, time =    4.40000 

iteration =        450, time =    4.50000 

iteration =        460, time =    4.60000 

iteration =        470, time =    4.70000 

iteration =        480, time =    4.80000 

iteration =        490, time =    4.90000 

iteration =        500, time =    5.00000 

###TIME-evolution finished!
